confFrom,confTo,pvalue
eccv,icdar,2.29521693017613e-07
icdar,eccv,7.56150676465256e-85
icml,eccv,0.00100913305248535
eccv,icpr,4.2394569759197e-08
icpr,eccv,0.000988809391920353
eccv,icra,0.00337857147446766
icra,eccv,0.000178339894515023
eccv,ictai,1.8845517831945e-05
eccv,ijcai,7.17536056434946e-96
ijcai,eccv,5.20871954109366e-19
eccv,ml,0.000147807264257049
ml,eccv,8.26901730302208e-07
eccv,nips,0.00991901203259857
nips,eccv,0.000109836126255193
uai,eccv,0.00204577106923586
iccv,emnlp,1.99914711411067e-05
emnlp,iconip,0.00402759994114628
emnlp,icpr,2.59501885304796e-30
emnlp,icra,0.00937792324533492
ilp,emnlp,1.80420143049991e-122
emnlp,naacl,0.00161210140164688
emnlp,nips,0.00115372431623006
nips,emnlp,0.000452788367518907
gecco,icann,1.38663730784253e-05
icann,gecco,1.35022253071544e-116
gecco,icb,0
gecco,icml,5.20615518553821e-103
gecco,iconip,3.29851934295283e-81
iconip,gecco,0.00638014290781533
gecco,icpr,3.81337919968443e-21
icpr,gecco,9.86079443973319e-26
gecco,icra,1.44765793596336e-12
icra,gecco,9.93473620552690e-12
ictai,gecco,8.19852654710023e-32
gecco,ijcai,4.78487178199301e-34
ijcai,gecco,2.01823585022196e-05
gecco,ijcnn,1.56136124206961e-149
ijcnn,gecco,0.000224709215471493
ilp,gecco,0.000324127522719173
gecco,ml,1.09489375065604e-133
pricai,gecco,0.00297868804118309
icb,icann,0.000237754531501154
icann,iconip,0.00525022917784493
iconip,icann,0.00749221085805424
icra,icann,0.0082116837158943
ijcai,icann,0.00389684904918472
icann,ijcnn,0.000284169447295819
ijcnn,icann,2.04449399644264e-08
icann,naacl,2.48701730901516e-41
naacl,icann,1.90920463322515e-06
icann,pricai,7.58494230503741e-05
pricai,icann,3.02349362571856e-05
icann,uai,2.71338482349151e-30
icaps,ml,1.0927366333643e-44
icaps,pricai,0.00919712790398866
icb,iccv,5.98336382429393e-20
iccv,icb,0.00585380835399022
icb,icdar,8.02948306209661e-223
icdar,icb,0.00990174162759903
icb,icpr,1.29649606869717e-08
icpr,icb,0.00016608251890688
icb,icra,1.10254542692046e-65
icb,nips,1.34520493020546e-249
iccbr,icdar,1.2252796875222e-174
iccbr,iconip,0.00193265664804894
iconip,iccbr,6.28524636373023e-120
ictai,iccbr,2.60346304390792e-31
iccbr,ilp,4.91244142828029e-122
iccbr,kr,0.0028936344327437
iccbr,nips,0.00100415562220439
pricai,iccbr,9.00603657193983e-05
iccv,icdar,0.00169120581154601
icdar,iccv,0.00079298264932014
iccv,icml,0.00165083056590296
icml,iccv,0.00235640126321915
iccv,iconip,0.00697307000771899
iconip,iccv,0.000323008867766867
icra,iccv,0.00630642812970421
ictai,iccv,0.000200855570037863
iccv,ml,0.00348149249161872
