confFrom,confTo,pvalue
aamas,aaai,0.00184823295006381
accv,aaai,3.90530184083921e-05
aaai,connection,9.13552753508318e-74
aaai,eccv,0.000678589619008241
aaai,gecco,3.23884508440497e-08
gecco,aaai,2.95884191514788e-166
icpr,aaai,0.000424228202360553
aaai,icra,0.00197898954110794
ijcnn,aaai,4.17710912453211e-244
aaai,ml,0.00207701777622364
uai,aaai,0.000703698151267012
aamas,acl,0.00744705034361149
acl,aamas,0.00069805101694251
aamas,coling,1.20593056810327e-09
aamas,connection,6.10094510574965e-107
aamas,cvpr,3.42634359413305e-57
cvpr,aamas,0.00824017979818207
aamas,ecai,0.00154566349165888
gecco,aamas,0.00144083519004164
icdar,aamas,4.29109843384441e-283
iconip,aamas,3.25673012502095e-19
icpr,aamas,1.06719253554086e-13
aamas,ictai,0.000664914578280695
aamas,ijcai,0.00370903229303652
aamas,ilp,0.00887222361219616
aamas,ml,0.000784178710286824
aamas,naacl,1.27986658893718e-06
aamas,nips,0.00021918139238251
nips,aamas,0.00403719857053106
aamas,pricai,0.00796857492191915
aamas,uai,0.00549965852386505
cvpr,accv,0.000152120072509102
accv,ecai,0.00011737374227524
emnlp,accv,2.21756297557098e-07
accv,icann,7.71966079906685e-16
icann,accv,0.000582559104294053
accv,icb,4.63828869006445e-06
icb,accv,5.20982175565745e-19
accv,icdar,2.14237777291701e-05
icdar,accv,0.00130714393111616
icml,accv,0.00263659593208189
accv,ml,2.50313355343578e-13
accv,naacl,4.09110289544589e-250
alt,acl,5.76305542444486e-16
acl,coling,2.03658606977842e-06
coling,acl,0.000150307361866066
acl,colt,8.14843415976319e-30
colt,acl,0
acl,cvpr,1.10318938269266e-08
cvpr,acl,1.39741749133108e-173
acl,eccv,1.03795962366569e-08
eccv,acl,1.65031122718891e-69
gecco,acl,6.11642604553366e-05
icann,acl,1.18480322391459e-75
acl,iccv,3.33331000105718e-12
iccv,acl,3.40939515927853e-191
iconip,acl,0.00928249039181823
acl,icpr,1.17753726345116e-07
acl,ijcai,1.92257891602925e-294
ijcai,acl,2.03388306039717e-07
acl,ml,0.000558239474127253
ml,acl,0.00164560821115493
